白罩花27cm      5个
白罩花34CM   ***3个
千兰胡桃木色30cm 4个    代发   尚显-敏星千兰吸顶灯对接群
单层蓝钻35cm  ***3个
单层白钻30CM  ***3个
单层白钻40CM   **2个
葵花圆30CM    ***3个
葵花圆50CM      1个
窗帘圆30cm   ****4个
雷达 PVC33cm ****4个
雷达 PVC39cm  ***3个
黑小米33CM   ****4个
黑小米38CM    ***3个
白框梅花39cm  ***3个
品艺黑圆30cm  ***3个
声控 PVC白款26  ***6个
声控 PVC白款33  ***3个
横线黑金30CM  ****4个
横线黑金40CM  ***3个
白横线40CM     ***3个  
横线黑金50CM   **2个
菊花40cm         2个
贝壳圆30CM    ***4个
贝壳圆40CM       2个 
贝壳圆50CM      *2个   司普家的灯罩
贝壳方50x50cm    1个 
南瓜圆40cm       2个
南瓜圆50cm       1个
白天圆50cm       1个   （外面拿货）
扇贝圆50CM      *2个
皓月方50x50cm   *2个
皓月圆50cm      *2个
皓月圆60cm       1个
皓月方60x60cm    1个
GK山水白圆40cm  1个
GK山水白圆50cm  1个
星空40cm         1个
星空50cm         1个 
云墨圆50CM      2个 
天晶水晶40*40CM  1个
天晶水晶50CM     1个 
四线钻石方40      2个
四线钻石方50      1个
黑金山水30*30     4个
黑金山水 40*40    2个
黑金山水50x50cm   1个  代发
马赛克圆40CM     2个 
马赛克圆50       1个
马赛克方50*50cm  1个
炫钻金方50*50cm  1个
灰影方50x50cm     1
福边镂空黑圆30cm  4个
福边镂空圆50cm   1个 代发
镂空黑金50cm     2个
霞影咖圆42cm     1个
秋雅淡金圆50cm   1个
环宇圆50cm      1个
环宇方50*50cm   1个
Y-5016圆50cm智能离线语音  1个
Y-5015圆50cm智能离线语音  1个
三层白钻圆50cm   1个
品艺黑圆50cm    2个
百慧咖圆50cm    2个
百慧白圆50cm    2个
品艺黑方50*50cm  2个
莫兰迪灰圆40cm   2个
莫兰迪灰圆50cm   2个
莫兰迪金圆20cm   2个
莫兰迪金圆50cm   2个
百慧黑圆50cm    2个
百慧黑方50*50cm  2个
千慧灰圆50cm    2个
千层咖圆50cm    2个
黑砂钻石30CM  ***3个 
金砂砖石30CM  ***3个 
金砂砖石40CM    2个 
金砂砖石50CM    2个 
金砂砖石50*50CM  2个
白冰玉圆40CM    2个 
白玉圆50cm      1个
白冰玉方50*50CM  1个
时慧白圆40CM  ***3个
时慧白圆50CM  ***2个
双金线圆40CM  ***3个
双金线方50*50CM  2个
双层白钻40CM    2个
双层白钻50CM    2个
三层白钻50CM    1个
水波纹圆50CM    2个
风暴白圆40CM    2个
风暴白圆50CM    2个
凤尾白钻圆40CM  2个
凤尾白钻圆50CM  2个
方格镜面圆40CM  2个
方格镜面圆50CM  2个
琉璃白方50*50CM  2个 
闪耀方50*50CM   2个
薄白天圆23CM    8个
薄白天圆30CM    4个
薄白天圆40CM    2个
薄白天圆50CM    2个
透明圆中圆50CM  2个 
雅文白款圆40CM  2个
雅文白款圆50CM  1个
白山黑水30CM  4个
白山黑水40CM  2个
白山黑水50CM  2个
朝阳灰元40CM  2个
朝阳灰元50CM   2个
朝阳黑圆50CM     2个
朝阳黑方50x50cm 2个 
时惠40CM       2个 
品艺40CM       2个 
柠檬圆40CM     2个 
粉罩花40CM     2个
三防白边23cm15w白光（3-6平）经济款  8个   极兔10个
三防黑边23cm16w白光（3-6平）旗舰款  4-5个一个包裹极兔
三防黑边30cm24w白光（5-9平）经济款  8个  （邮政4个，极兔8-10个）
三防黑边30cm30w白光（5-9平）旗舰款  4个
三防黑边37经济  6个（邮政3，极兔6）
三防黑边37旗舰  2个
三防黑边38旗舰  2个 
三防灯白框40cm白光40W 2个 （白光40W发旗舰款）
三防灯白框40cm 三色 2个  （三色只有旗舰款）
三防黑边49*49 旗舰  2个
【旗舰品质】三防白边50*50 白光 2个
【旗舰品质】三防白边50*50 三色 2个
【旗舰品质】三防白边50*50 无极 1个    （够快报货的）
黑润玉39x39     3个 三只装
雨润白50x50cm   2个
白美方30*30CM  2个 两只装
白美圆40CM     2个 两只装
白美方40*40CM  2个 两只装
黑润玉50x50     2个 两只装
黑润玉60x40     2个 两只装
黑润玉80x60     2个 两只装
黑润玉90x60     2个 两只装
黑润玉110x70    2个 两只装

百慧白方110x70cm    顺丰






报货供货商备忘
多瓣花18cm      红运过道灯  无货
